ordem;nivel;cod_dim2;Zona Geográfica;População residente - Total;População residente - H;População residente - M;População presente - Total;População presente - H;População presente - M;Famílias - Clássicas ;Famílias - Institucionais;Núcleos familiares ;Alojamentos familiares - Total ;Alojamentos familiares - Clássicos;Alojamentos familiares - Não clássicos;Alojamentos colectivos;Edifícios clássicos
175945000;6;110101;                        Abrigada;3320;1593;1727;3206;1531;1675;1304;5;1035;1979;1978;1;5;1917
176103000;6;110102;                        Aldeia Galega da Merceana;2079;996;1083;2007;948;1059;820;1;617;1221;1218;3;1;1062
176213000;6;110103;                        Aldeia Gavinha;1142;546;596;1117;525;592;476;0;370;662;661;1;0;648
176256000;6;110104;                        Cabanas de Torres;989;480;509;951;458;493;394;0;308;587;587;0;0;572
176316000;6;110105;                        Cadafais;1734;836;898;1661;793;868;696;1;556;915;912;3;1;702
176364000;6;110106;                        Carnota;1678;820;858;1629;794;835;642;1;541;938;936;2;1;921
176459000;6;110107;                        Meca;1719;847;872;1662;808;854;651;0;558;939;939;0;0;911
176529000;6;110108;                        Olhalvo;1907;901;1006;1833;859;974;716;2;591;992;992;0;2;975
176586000;6;110109;                        Ota;1289;645;644;2069;1238;831;512;1;421;647;647;0;1;524
176627000;6;110110;                        Pereiro de Palhacana;577;296;281;557;286;271;236;1;189;434;434;0;3;433
176672000;6;110111;                        Alenquer (Santo Estêvão);6687;3217;3470;6479;3087;3392;2594;1;2098;3741;3739;2;4;2100
176793000;6;110112;                        Alenquer (Triana);4134;2016;2118;3973;1917;2056;1609;0;1307;2113;2113;0;3;1396
176886000;6;110113;                        Ventosa;2173;1039;1134;2087;993;1094;866;2;679;1467;1466;1;2;1410
177013000;6;110114;                        Vila Verde dos Francos;1162;586;576;1136;567;569;448;0;384;697;697;0;0;694
177082000;6;110115;                        Carregado;11707;5770;5937;11093;5386;5707;4403;2;3531;5589;5585;4;3;1460
177219000;6;110116;                        Ribafria;970;478;492;942;459;483;383;0;308;626;626;0;0;607
177271000;5;1102;                    Arruda dos Vinhos;13391;6571;6820;13038;6327;6711;5047;9;4101;6705;6703;2;11;4752
